Campaign name,Ad set name,Ad name,Status,Headline,Body,Creative,Results,Cost per result,Reach,Impressions,Frequency,CPC (cost per link click),CTR (link click-through rate),Amount spent (USD),Quality ranking,Engagement rate ranking,Conversion rate ranking
Storm Damage Retargeting,Storm Damage Retargeting | adset2,AD_022 - Spring Roof Tune-Up Spec,Active,Spring Roof Tune-Up Special,Catch small problems before they cost thousands. $99 inspection package.,tune_up_static.jpg,7,$58.78,20551,40173,1.95,$0.66,1.56%,$411.48,Above average,Above average,Average
Storm Damage Retargeting,Storm Damage Retargeting | adset1,AD_023 - New Roof Financing Avail,Active,New Roof Financing Available,0% APR for 18 months. Free quote in under 60 seconds.,financing_v1.mp4,7,$62.42,25815,45879,1.78,$0.65,1.46%,$436.96,Above average,Above average,Average
Storm Damage Retargeting,Storm Damage Retargeting | adset2,AD_024 - Local Florida Roofers,Active,Local Florida Roofers,"Family-owned, 23 years in business, A+ BBB. See our reviews.",local_pride.jpg,7,$60.98,27837,48308,1.74,$0.63,1.41%,$426.89,Above average,Above average,Average
New Construction Leads - LeadGen,New Construction Leads - LeadGen | adset1,AD_025 - Free Roof Inspection Thi,Active,Free Roof Inspection This Week,We'll inspect storm damage at no cost. Filing insurance? We handle paperwork.,free_inspection_v1.mp4,0,—,24790,47747,1.93,$0.83,1.23%,$485.52,—,—,—
New Construction Leads - LeadGen,New Construction Leads - LeadGen | adset2,AD_026 - Insurance Approved Roofi,Active,Insurance Approved Roofing Pros,Don't pay out of pocket. Free inspection + we work directly with adjusters.,insurance_claims_v3.mp4,0,—,27307,45210,1.66,$0.79,1.21%,$430.82,—,—,—
New Construction Leads - LeadGen,New Construction Leads - LeadGen | adset1,AD_027 - Hurricane Season is Comi,Active,Hurricane Season is Coming,Get your roof inspected before storm season. Limited spots this month.,hurricane_prep_v2.jpg,0,—,36775,65493,1.78,$0.67,1.33%,$580.57,—,—,—
New Construction Leads - LeadGen,New Construction Leads - LeadGen | adset2,AD_028 - Lifetime Warranty Roofin,Active,Lifetime Warranty Roofing,GAF-certified install with a lifetime warranty. Florida-tough.,warranty_static.jpg,0,—,28788,54179,1.88,$0.63,1.38%,$473.11,—,—,—
Commercial Roofing - Lead Gen,Commercial Roofing - Lead Gen | adset1,AD_029 - Storm Damage? We Got You,Active,Storm Damage? We Got You,"Hail, wind, water — we handle insurance and the install.",storm_damage_v4.mp4,0,—,25326,45609,1.8,$0.58,1.47%,$388.46,—,—,—
Commercial Roofing - Lead Gen,Commercial Roofing - Lead Gen | adset2,AD_030 - Spring Roof Tune-Up Spec,Active,Spring Roof Tune-Up Special,Catch small problems before they cost thousands. $99 inspection package.,tune_up_static.jpg,0,—,21896,41265,1.88,$0.65,1.55%,$414.72,—,—,—
Commercial Roofing - Lead Gen,Commercial Roofing - Lead Gen | adset1,AD_031 - New Roof Financing Avail,Active,New Roof Financing Available,0% APR for 18 months. Free quote in under 60 seconds.,financing_v1.mp4,0,—,17384,33045,1.9,$0.51,1.67%,$284.03,—,—,—
Commercial Roofing - Lead Gen,Commercial Roofing - Lead Gen | adset2,AD_032 - Local Florida Roofers,Active,Local Florida Roofers,"Family-owned, 23 years in business, A+ BBB. See our reviews.",local_pride.jpg,0,—,19831,39870,2.01,$0.57,1.64%,$369.80,—,—,—
Roof Repair - Conversion,Roof Repair - Conversion | adset1,AD_033 - Free Roof Inspection Thi,Active,Free Roof Inspection This Week,We'll inspect storm damage at no cost. Filing insurance? We handle paperwork.,free_inspection_v1.mp4,3,$79.78,12859,23319,1.81,$0.66,1.56%,$239.35,Average,Average,Below average
Roof Repair - Conversion,Roof Repair - Conversion | adset2,AD_034 - Insurance Approved Roofi,Active,Insurance Approved Roofing Pros,Don't pay out of pocket. Free inspection + we work directly with adjusters.,insurance_claims_v3.mp4,3,$81.40,14802,26800,1.81,$0.63,1.45%,$244.19,Average,Average,Below average
Roof Repair - Conversion,Roof Repair - Conversion | adset1,AD_035 - Hurricane Season is Comi,Active,Hurricane Season is Coming,Get your roof inspected before storm season. Limited spots this month.,hurricane_prep_v2.jpg,4,$65.68,14593,29988,2.05,$0.50,1.76%,$262.71,Average,Average,Below average
Roof Repair - Conversion,Roof Repair - Conversion | adset2,AD_036 - Lifetime Warranty Roofin,Active,Lifetime Warranty Roofing,GAF-certified install with a lifetime warranty. Florida-tough.,warranty_static.jpg,3,$65.54,10598,18169,1.71,$0.64,1.69%,$196.62,Average,Average,Below average
Reach Expansion - North FL,Reach Expansion - North FL | adset1,AD_037 - Storm Damage? We Got You,Active,Storm Damage? We Got You,"Hail, wind, water — we handle insurance and the install.",storm_damage_v4.mp4,0,—,13758,24403,1.77,$2.11,0.45%,$231.80,Below average,Below average,—
Reach Expansion - North FL,Reach Expansion - North FL | adset2,AD_038 - Spring Roof Tune-Up Spec,Active,Spring Roof Tune-Up Special,Catch small problems before they cost thousands. $99 inspection package.,tune_up_static.jpg,0,—,9494,15829,1.67,$2.22,0.50%,$175.56,Below average,Below average,—
Reach Expansion - North FL,Reach Expansion - North FL | adset1,AD_039 - New Roof Financing Avail,Active,New Roof Financing Available,0% APR for 18 months. Free quote in under 60 seconds.,financing_v1.mp4,0,—,10812,19819,1.83,$2.41,0.39%,$186.50,Below average,Below average,—
Reach Expansion - North FL,Reach Expansion - North FL | adset2,AD_040 - Local Florida Roofers,Active,Local Florida Roofers,"Family-owned, 23 years in business, A+ BBB. See our reviews.",local_pride.jpg,0,—,9755,18196,1.87,$1.88,0.51%,$174.38,Below average,Below average,—
Engagement Builder - Local,Engagement Builder - Local | adset1,AD_041 - Free Roof Inspection Thi,Active,Free Roof Inspection This Week,We'll inspect storm damage at no cost. Filing insurance? We handle paperwork.,free_inspection_v1.mp4,0,—,18873,36257,1.92,$1.23,0.70%,$312.93,Average,Above average,—
Engagement Builder - Local,Engagement Builder - Local | adset2,AD_042 - Insurance Approved Roofi,Active,Insurance Approved Roofing Pros,Don't pay out of pocket. Free inspection + we work directly with adjusters.,insurance_claims_v3.mp4,0,—,14139,30198,2.14,$1.18,0.80%,$285.92,Average,Above average,—
Engagement Builder - Local,Engagement Builder - Local | adset1,AD_043 - Hurricane Season is Comi,Active,Hurricane Season is Coming,Get your roof inspected before storm season. Limited spots this month.,hurricane_prep_v2.jpg,0,—,12592,22023,1.75,$0.96,0.89%,$187.53,Average,Above average,—
Engagement Builder - Local,Engagement Builder - Local | adset2,AD_044 - Lifetime Warranty Roofin,Active,Lifetime Warranty Roofing,GAF-certified install with a lifetime warranty. Florida-tough.,warranty_static.jpg,0,—,10545,19224,1.82,$1.32,0.75%,$191.03,Average,Above average,—
Tracking Test - Lead Form (BROKEN),Tracking Test - Lead Form (BROKE | adset1,AD_045 - Storm Damage? We Got You,Active,Storm Damage? We Got You,"Hail, wind, water — we handle insurance and the install.",storm_damage_v4.mp4,0,—,16978,29343,1.73,$0.89,1.22%,$320.00,—,—,—
Tracking Test - Lead Form (BROKEN),Tracking Test - Lead Form (BROKE | adset2,AD_046 - Spring Roof Tune-Up Spec,Active,Spring Roof Tune-Up Special,Catch small problems before they cost thousands. $99 inspection package.,tune_up_static.jpg,0,—,11388,21775,1.91,$0.88,1.29%,$246.20,—,—,—
Tracking Test - Lead Form (BROKEN),Tracking Test - Lead Form (BROKE | adset1,AD_047 - New Roof Financing Avail,Active,New Roof Financing Available,0% APR for 18 months. Free quote in under 60 seconds.,financing_v1.mp4,0,—,10707,21119,1.97,$0.81,1.26%,$215.84,—,—,—
Tracking Test - Lead Form (BROKEN),Tracking Test - Lead Form (BROKE | adset2,AD_048 - Local Florida Roofers,Active,Local Florida Roofers,"Family-owned, 23 years in business, A+ BBB. See our reviews.",local_pride.jpg,0,—,18628,31338,1.68,$0.77,1.15%,$277.22,—,—,—
